Availability,Bid,Spotprice
0,0.0172,0.0289
0.003969907,0.017405051,0.0289
0.005613426,0.017610101,0.0289
0.007476852,0.017815152,0.0289
0.008773148,0.018020202,0.0289
0.011018519,0.018225253,0.0289
0.017291667,0.018430303,0.0289
0.019513889,0.018635354,0.0289
0.020787037,0.018840404,0.0289
0.024259259,0.019045455,0.0289
0.027430556,0.019250505,0.0289
0.02837963,0.019455556,0.0289
0.0371875,0.019660606,0.0289
0.043206019,0.019865657,0.0289
0.050162037,0.020070707,0.0289
0.051747685,0.020275758,0.0289
0.05431713,0.020480808,0.0289
0.057106481,0.020685859,0.0289
0.058993056,0.020890909,0.0289
0.058993056,0.02109596,0.0289
0.064340278,0.02130101,0.0289
0.067534722,0.021506061,0.0289
0.070358796,0.021711111,0.0289
0.073136574,0.021916162,0.0289
0.073449074,0.022121212,0.0289
0.074398148,0.022326263,0.0289
0.074398148,0.022531313,0.0289
0.075740741,0.022736364,0.0289
0.077638889,0.022941414,0.0289
0.079189815,0.023146465,0.0289
0.079513889,0.023351515,0.0289
0.080486111,0.023556566,0.0289
0.083935185,0.023761616,0.0289
0.086770833,0.023966667,0.0289
0.091203704,0.024171717,0.0289
0.097256944,0.024376768,0.0289
0.102916667,0.024581818,0.0289
0.111493056,0.024786869,0.0289
0.116805556,0.024991919,0.0289
0.120613426,0.02519697,0.0289
0.124444444,0.02540202,0.0289
0.128854167,0.025607071,0.0289
0.1390625,0.025812121,0.0289
0.150173611,0.026017172,0.0289
0.15994213,0.026222222,0.0289
0.167893519,0.026427273,0.0289
0.181145833,0.026632323,0.0289
0.190023148,0.026837374,0.0289
0.194710648,0.027042424,0.0289
0.203229167,0.027247475,0.0289
0.208576389,0.027452525,0.0289
0.2165625,0.027657576,0.0289
0.229155093,0.027862626,0.0289
0.24337963,0.028067677,0.0289
0.257592593,0.028272727,0.0289
0.274398148,0.028477778,0.0289
0.285023148,0.028682828,0.0289
0.305173611,0.028887879,0.0289
0.321076389,0.029092929,0.0289
0.34099537,0.02929798,0.0289
0.363483796,0.02950303,0.0289
0.374872685,0.029708081,0.0289
0.3865625,0.029913131,0.0289
0.398263889,0.030118182,0.0289
0.407615741,0.030323232,0.0289
0.411990741,0.030528283,0.0289
0.417094907,0.030733333,0.0289
0.419675926,0.030938384,0.0289
0.4209375,0.031143434,0.0289
0.4221875,0.031348485,0.0289
0.423796296,0.031553535,0.0289
0.424733796,0.031758586,0.0289
0.426006944,0.031963636,0.0289
0.426319444,0.032168687,0.0289
0.426319444,0.032373737,0.0289
0.426319444,0.032578788,0.0289
0.426319444,0.032783838,0.0289
0.426319444,0.032988889,0.0289
0.426319444,0.033193939,0.0289
0.426319444,0.03339899,0.0289
0.427592593,0.03360404,0.0289
0.428819444,0.033809091,0.0289
0.430092593,0.034014141,0.0289
0.433344907,0.034219192,0.0289
0.435196759,0.034424242,0.0289
0.438680556,0.034629293,0.0289
0.443622685,0.034834343,0.0289
0.450300926,0.035039394,0.0289
0.45599537,0.035244444,0.0289
0.460613426,0.035449495,0.0289
0.465023148,0.035654545,0.0289
0.469039352,0.035859596,0.0289
0.473136574,0.036064646,0.0289
0.483310185,0.036269697,0.0289
0.488784722,0.036474747,0.0289
0.493726852,0.036679798,0.0289
0.503136574,0.036884848,0.0289
0.511886574,0.037089899,0.0289
0.517060185,0.037294949,0.0289
