,FIPS_2008,Total Household_2008,Income_2008,FIPS_2013,Total Household_2013,Income_2013
0,01,1811009,42131,01,1838683,43253
1,02,235500,66293,02,251899,70760
2,04,2250241,51124,04,2370289,49774
3,05,1106185,39127,05,1129723,40768
4,06,12177852,61154,06,12542460,61094
5,08,1866621,56574,08,1977591,58433
6,09,1325680,68411,09,1355849,69461
7,10,325746,57270,10,335707,59878
8,11,250423,56428,11,263649,65830
9,12,7080705,48637,12,7158980,46956
10,13,3421866,50549,13,3518097,49179
11,15,436449,66034,15,449771,67402
12,16,556915,47331,16,579797,46767
13,17,4751748,55935,17,4772723,56797
14,18,2463700,48675,18,2481793,48248
15,19,1207657,48585,19,1226547,51843
16,20,1095794,49189,20,1110440,51332
17,21,1666775,41763,21,1694996,43036
18,22,1590100,42634,22,1707852,44874
19,23,544101,46807,23,553823,48453
20,24,2086828,70005,24,2146240,73538
21,25,2457167,64684,25,2530147,66866
22,26,3844581,49694,26,3823280,48411
23,27,2072355,57795,27,2107232,59836
24,28,1079088,37404,28,1088073,39031
25,29,2317739,46408,29,2360131,47380
26,30,373455,44042,30,405525,46230
27,31,702293,49231,31,725787,51672
28,32,947147,56348,32,999016,52800
29,33,503994,63989,33,518245,64916
30,34,3149545,69674,34,3186418,71629
31,35,736392,43202,35,761938,44927
32,36,7111130,55401,36,7234743,58003
33,37,3533366,46107,37,3715565,46334
34,38,273213,45390,38,287270,53741
35,39,4506487,48023,39,4557655,48308
36,40,1399079,42541,40,1444081,45339
37,41,1464672,49863,41,1516456,50229
38,42,4877735,50272,42,4958427,52548
39,44,402707,55327,44,410058,56361
40,45,1686571,44326,45,1780251,44779
41,46,314820,45542,46,323136,49495
42,47,2408031,43662,47,2475195,44298
43,48,8258094,49078,48,8886471,51900
44,49,834483,56484,49,886770,58821
45,50,252423,51704,50,257004,54267
46,51,2931657,61044,51,3022739,63907
47,53,2510116,57234,53,2629126,59478
48,54,742527,37870,54,741390,41043
49,55,2236518,52249,55,2288332,52413
50,56,207018,53096,56,222846,57406
51,72,1210537,18610,72,1230868,19624
