Index,Total Household Income
27292,247248.18008123967
17773,247248.18008123967
9000,247248.18008123967
15640,247248.18008123967
25205,247248.18008123967
13503,247248.18008123967
24333,247248.18008123967
12852,247248.18008123967
27350,247248.18008123967
23466,247248.18008123967
20223,247248.18008123967
35346,247248.18008123967
23045,247248.18008123967
18836,247248.18008123967
32671,247248.18008123967
18000,247248.18008123967
9128,247248.18008123967
31229,247248.18008123967
12972,247248.18008123967
19238,247248.18008123967
7466,247248.18008123967
34328,247248.18008123967
15528,247248.18008123967
28665,247248.18008123967
29081,247248.18008123967
8804,247248.18008123967
17973,247248.18008123967
39547,247248.18008123967
34844,247248.18008123967
35974,247248.18008123967
34521,247248.18008123967
19732,247248.18008123967
25621,247248.18008123967
28839,247248.18008123967
7462,247248.18008123967
27561,247248.18008123967
2562,247248.18008123967
16895,247248.18008123967
40758,247248.18008123967
28533,247248.18008123967
13222,247248.18008123967
38627,247248.18008123967
39831,247248.18008123967
12415,247248.18008123967
1694,247248.18008123967
37346,247248.18008123967
1359,247248.18008123967
34231,247248.18008123967
12989,247248.18008123967
24978,247248.18008123967
33339,247248.18008123967
35118,247248.18008123967
31656,247248.18008123967
33574,247248.18008123967
25294,247248.18008123967
36644,247248.18008123967
39104,247248.18008123967
25521,247248.18008123967
14443,247248.18008123967
5802,247248.18008123967
26104,247248.18008123967
23084,247248.18008123967
7417,247248.18008123967
33515,247248.18008123967
34966,247248.18008123967
16908,247248.18008123967
7145,247248.18008123967
38886,247248.18008123967
12696,247248.18008123967
5083,247248.18008123967
33895,247248.18008123967
35635,247248.18008123967
32110,247248.18008123967
7034,247248.18008123967
32346,247248.18008123967
7454,247248.18008123967
12441,247248.18008123967
33612,247248.18008123967
11974,247248.18008123967
22757,247248.18008123967
1742,247248.18008123967
14424,247248.18008123967
38515,247248.18008123967
32009,247248.18008123967
24988,247248.18008123967
24460,247248.18008123967
20248,247248.18008123967
24610,247248.18008123967
14723,247248.18008123967
19802,247248.18008123967
6888,247248.18008123967
30280,247248.18008123967
27267,247248.18008123967
14208,247248.18008123967
9677,247248.18008123967
38410,247248.18008123967
3126,247248.18008123967
14367,247248.18008123967
8642,247248.18008123967
37778,247248.18008123967
31645,247248.18008123967
13634,247248.18008123967
28899,247248.18008123967
7312,247248.18008123967
36111,247248.18008123967
39141,247248.18008123967
3962,247248.18008123967
13963,247248.18008123967
27535,247248.18008123967
2242,247248.18008123967
28142,247248.18008123967
33275,247248.18008123967
29102,247248.18008123967
14321,247248.18008123967
17964,247248.18008123967
28531,247248.18008123967
16752,247248.18008123967
35237,247248.18008123967
25627,247248.18008123967
20670,247248.18008123967
2030,247248.18008123967
16557,247248.18008123967
15013,247248.18008123967
16031,247248.18008123967
31577,247248.18008123967
36536,247248.18008123967
3753,247248.18008123967
19421,247248.18008123967
19437,247248.18008123967
20226,247248.18008123967
26515,247248.18008123967
8849,247248.18008123967
40350,247248.18008123967
15495,247248.18008123967
22981,247248.18008123967
9298,247248.18008123967
37328,247248.18008123967
1278,247248.18008123967
23346,247248.18008123967
7300,247248.18008123967
35966,247248.18008123967
3895,247248.18008123967
21034,247248.18008123967
23125,247248.18008123967
15919,247248.18008123967
28402,247248.18008123967
31383,247248.18008123967
31134,247248.18008123967
38554,247248.18008123967
7384,247248.18008123967
14380,247248.18008123967
18449,247248.18008123967
988,247248.18008123967
4947,247248.18008123967
22826,247248.18008123967
35471,247248.18008123967
36742,247248.18008123967
431,247248.18008123967
33522,247248.18008123967
30449,247248.18008123967
36120,247248.18008123967
40727,247248.18008123967
33746,247248.18008123967
11340,247248.18008123967
19168,247248.18008123967
39885,247248.18008123967
41187,247248.18008123967
34769,247248.18008123967
25049,247248.18008123967
26111,247248.18008123967
8032,247248.18008123967
30056,247248.18008123967
38360,247248.18008123967
34081,247248.18008123967
24164,247248.18008123967
6846,247248.18008123967
41268,247248.18008123967
16870,247248.18008123967
23904,247248.18008123967
20860,247248.18008123967
11535,247248.18008123967
20599,247248.18008123967
1031,247248.18008123967
40198,247248.18008123967
29850,247248.18008123967
27721,247248.18008123967
40225,247248.18008123967
36663,247248.18008123967
28600,247248.18008123967
26417,247248.18008123967
28293,247248.18008123967
32119,247248.18008123967
13078,247248.18008123967
998,247248.18008123967
640,247248.18008123967
25545,247248.18008123967
12158,247248.18008123967
32728,247248.18008123967
29951,247248.18008123967
41345,247248.18008123967
4824,247248.18008123967
25781,247248.18008123967
13174,247248.18008123967
31255,247248.18008123967
39059,247248.18008123967
39786,247248.18008123967
20411,247248.18008123967
18929,247248.18008123967
26047,247248.18008123967
28447,247248.18008123967
10289,247248.18008123967
39840,247248.18008123967
15179,247248.18008123967
15018,247248.18008123967
3,247248.18008123967
37345,247248.18008123967
10850,247248.18008123967
17702,247248.18008123967
34349,247248.18008123967
5044,247248.18008123967
3184,247248.18008123967
7333,247248.18008123967
2009,247248.18008123967
8714,247248.18008123967
20899,247248.18008123967
39870,247248.18008123967
4245,247248.18008123967
36529,247248.18008123967
10880,247248.18008123967
19752,247248.18008123967
2132,247248.18008123967
23853,247248.18008123967
29687,247248.18008123967
10731,247248.18008123967
12912,247248.18008123967
34527,247248.18008123967
4815,247248.18008123967
40646,247248.18008123967
18815,247248.18008123967
24463,247248.18008123967
41092,247248.18008123967
34145,247248.18008123967
33428,247248.18008123967
10121,247248.18008123967
15091,247248.18008123967
38346,247248.18008123967
3279,247248.18008123967
27758,247248.18008123967
35928,247248.18008123967
12957,247248.18008123967
13142,247248.18008123967
25916,247248.18008123967
33058,247248.18008123967
38928,247248.18008123967
1689,247248.18008123967
29673,247248.18008123967
